Customer Name,Address,City,State,Zip,Premise,TDLinx Code,Sold to,Licence No.,Channel / Trad Channel,Sub-Channel / Sub Trade Channel,IN SPECTRA,IN GALLO,IN WW
COLONY HOUSE LIQUORS,22523 PACIFIC COAST HWY,MALIBU,CA,90265,Off-Premise,,364559,,,,False,False,True
LUDWIGS LIQUORS & SMOKE SHOP,431 SAN ANSELMO AVE,SAN ANSELMO,CA,94960,Off-Premise,,364559,,,,False,False,True
J J KNOX,3725 TALBOT ST STE 2,SAN DIEGO,CA,92106,Off-Premise,,364559,,,,False,False,True
VALLEY LIQUORS       23,2023 MONTICELLO RD,NAPA,CA,94558,Off-Premise,,364559,,,,False,False,True
BOULDER CREEK LIQUORS,13141 HIGHWAY 9,BOULDER CREEK,CA,95006,Off-Premise,,364559,,,,False,False,True
SQUALO VINO,34 MAIN ST,BELVEDERE TIBURON,CA,94920,Off-Premise,,364559,,,,False,False,True
SOPHIES CELLARS,25179 HWY 116,DUNCANS MILLS,CA,95430,Off-Premise,,364559,,,,False,False,True
BUCKHORN LIQUOR,26590 STATE HIGHWAY 88,PIONEER,CA,95666,Off-Premise,,364559,,,,False,False,True
JEROME DRAPER WINE MERCHANT,6 MARIPOSA AVE,SAN ANSELMO,CA,94960,Off-Premise,,364559,,,,False,False,True
HOOTCH HUT,637 PEARSON RD,PARADISE,CA,95969,Off-Premise,,364559,,,,False,False,True
THE REDWOOD KEG LIQUOR & DELI,12980 HIGHWAY 9,BOULDER CREEK,CA,95006,Off-Premise,,364559,,,,False,False,True
WOFFORD HEIGHTS LIQUORS,5981 WOFFORD BLVD,WOFFORD HEIGHTS,CA,93285,Off-Premise,,364559,,,,False,False,True
LIQUOR & WINE GROTTO,1271 COAST VILLAGE RD,SANTA BARBARA,CA,93108,Off-Premise,,364559,,,,False,False,True
SPORTSMANS LIQUOR STORE,2615 NEWPORT BLVD,NEWPORT BEACH,CA,92663,Off-Premise,,364559,,,,False,False,True
KORKER LIQUORS,2229 E COAST HWY,CORONA DEL MAR,CA,92625,Off-Premise,,364559,,,,False,False,True
VILLAGE CHEESE & WINE SHOP,1485 E VALLEY RD,SANTA BARBARA,CA,93108,Off-Premise,,364559,,,,False,False,True
RANCHO SANTA FE SPIRIT SHOPPE,6056 EL TORDO,RANCHO SANTA FE,CA,92067,Off-Premise,,364559,,,,False,False,True
ST CHARLES LIQUOR,101 COMMERCIAL ST,DOWNIEVILLE,CA,95936,Off-Premise,,364559,,,,False,False,True
LIQUOR JUNCTION,14709 MONO WAY,SONORA,CA,95370,Off-Premise,,364559,,,,False,False,True
STATE BEACH LIQUOR,14801 PACIFIC COAST HWY,SANTA MONICA,CA,90402,Off-Premise,,364559,,,,False,False,True
VICTORY WINE & SPIRITS,1775 SUNSET CLIFFS BLVD,SAN DIEGO,CA,92107,Off-Premise,,364559,,,,False,False,True
ALL STAR LIQUOR EXPRESS,216 HILT RD,HORNBROOK,CA,96044,Off-Premise,,364559,,,,False,False,True
DICKS LIQUOR & DELI,7474 LA JOLLA BLVD,LA JOLLA,CA,92037,Off-Premise,,364559,,,,False,False,True
CARPE VINO,1568 LINCOLN WAY,AUBURN,CA,95603,Off-Premise,,364559,,,,False,False,True
